Trade Date,ISIN,YTM / Yield
February 2005,IN002004Z018,5.06
February 2005,IN0019880031,6.42
February 2005,IN002003Z010,4.89
February 2005,IN0020020247,7.03
February 2005,IN0020020247,7.06
February 2005,IN0019870073,6.13
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.71
February 2005,IN0020020064,6.44
February 2005,IN0020020064,6.44
February 2005,IN0020020064,6.45
February 2005,IN0020020130,6.70
February 2005,IN0020010057,6.67
February 2005,IN0020020130,6.70
February 2005,IN0020020064,6.43
February 2005,IN0020010057,6.68
February 2005,IN0020020064,6.45
February 2005,IN1920020022,7.17
February 2005,IN0020020130,6.70
February 2005,IN0020020064,6.43
February 2005,IN0020010057,6.65
February 2005,IN002003Z010,5.48
February 2005,IN0020020130,6.70
February 2005,IN002003Z010,5.48
February 2005,IN1920020022,7.17
February 2005,IN0019990137,6.92
February 2005,IN002003Z010,5.48
February 2005,IN0020020064,6.43
February 2005,IN0020020130,6.71
February 2005,IN002004Z018,5.54
February 2005,IN0020020163,6.84
February 2005,IN0020020130,6.70
February 2005,IN0020020130,6.70
February 2005,IN0020020015,6.43
February 2005,IN002003Z010,4.90
February 2005,IN0020020130,6.71
February 2005,IN0020010057,6.66
February 2005,IN0019880031,6.38
February 2005,IN0020020247,7.17
February 2005,IN0020020064,6.43
February 2005,IN0020010057,6.66
February 2005,IN0020020064,6.44
February 2005,IN0020040039,7.45
February 2005,IN0020040039,7.45
February 2005,IN0020020064,6.44
February 2005,IN0020020064,6.44
February 2005,IN0020010057,6.64
February 2005,IN1520020034,7.80
February 2005,IN0020020064,6.43
February 2005,IN0020020064,6.46
February 2005,IN0019980062,6.02
February 2005,IN0020010057,6.65
February 2005,IN3120010019,7.15
February 2005,IN0019980047,6.38
February 2005,IN1920010015,7.15
February 2005,IN0020020130,6.70
February 2005,IN0019980047,6.38
February 2005,IN0020020064,6.44
February 2005,IN0020020031,6.88
February 2005,IN0020020130,6.70
February 2005,IN0020020130,6.70
February 2005,IN0020020015,6.43
February 2005,IN0020020130,6.70
February 2005,IN0020020130,6.70
February 2005,IN0020020023,6.71
February 2005,IN0020020130,6.70
February 2005,IN0020020130,6.70
February 2005,IN0020020130,6.70
February 2005,IN002004X013,4.84
February 2005,IN0020020130,6.70
February 2005,IN0020020064,6.43
February 2005,IN0020020130,6.70
February 2005,IN0020020130,6.70
February 2005,IN0020020130,6.69
February 2005,IN0020020064,6.44
February 2005,IN0020020130,6.70
February 2005,IN0020020130,6.70
February 2005,IN0020020064,6.43
February 2005,IN0020020130,6.69
February 2005,IN0019980047,6.37
February 2005,IN0020010107,6.83
February 2005,IN0020040039,7.40
February 2005,IN0020020064,6.42
February 2005,IN0020020064,6.42
February 2005,IN0020030022,7.15
February 2005,IN0020020130,6.68
February 2005,IN0020020015,6.41
February 2005,IN002004X013,5.15
February 2005,IN0020010057,6.64
February 2005,IN0020020130,6.69
February 2005,IN0020020015,6.40
February 2005,IN0020020130,6.69
February 2005,IN0020020130,6.70
February 2005,IN0020020130,6.68
February 2005,IN0020020130,6.69
February 2005,IN0020020064,6.42
February 2005,IN0020020130,6.69
February 2005,IN0020020130,6.71
February 2005,IN0020020130,6.68
February 2005,IN0020020064,6.43
February 2005,IN0020020130,6.70
February 2005,IN0020020130,6.69
February 2005,IN0020020064,6.43
February 2005,IN0020020015,6.41
February 2005,IN0020020130,6.70
February 2005,IN0020020064,6.44
February 2005,IN0020020064,6.42
February 2005,IN002004Z018,5.39
February 2005,IN0020020064,6.42
February 2005,IN0020020064,6.44
February 2005,IN0020020130,6.68
February 2005,IN0020020130,6.68
February 2005,IN0020020130,6.68
February 2005,IN002004Z018,5.37
February 2005,IN0020020064,6.43
February 2005,IN0020020064,6.43
February 2005,IN002004Z018,5.16
February 2005,IN0020020130,6.70
February 2005,IN0020020130,6.68
February 2005,IN0020020064,6.42
February 2005,IN002004Z018,5.36
February 2005,IN0020020130,6.68
February 2005,IN0020020130,6.68
February 2005,IN0020020064,6.42
February 2005,IN0020020064,6.42
February 2005,IN1920010015,7.13
February 2005,IN0020020015,6.40
February 2005,IN0020020098,6.89
February 2005,IN3120010019,7.13
February 2005,IN0020020130,6.69
February 2005,IN0020020130,6.68
February 2005,IN0020020130,6.68
February 2005,IN0020020064,6.43
February 2005,IN0020020130,6.68
February 2005,IN0020040039,7.42
February 2005,IN0020020130,6.68
February 2005,IN0020020130,6.68
February 2005,IN0020020064,6.42
February 2005,IN0020020130,6.68
February 2005,IN0019980047,6.37
February 2005,IN0020020064,6.43
February 2005,IN002004Z018,5.41
February 2005,IN0020020064,6.46
February 2005,IN002004Z018,5.50
February 2005,IN0020020064,6.42
February 2005,IN002004Z018,5.02
February 2005,IN0020020130,6.70
February 2005,IN0020020064,6.42
February 2005,IN1020010014,7.13
February 2005,IN002004Z018,5.60
